ModelNumber,Name,Category,Colors,Status
"1104938","WICKRON ZEO LONG SLEEVE T MEN'S","KNIT SHIRTS","DUGN;GM;IND;OG;WT25","No mapping"
"1104939","WICKRON ZEO LONG SLEEVE T WOMEN'S","KNIT SHIRTS","CHGY;LBL;PU;WTH","No mapping"
"1104940","WICKRON ZEO LONG SLEEVE ZIP SHIRT MEN'S","KNIT SHIRTS","BL;DUGN;GM;OG;WTH","No mapping"
"1104941","WICKRON ZEO LONG SLEEVE ZIP SHIRT WOMEN'S","KNIT SHIRTS","CHGY;LBL;PU;WT23","No mapping"
"1105511","THERMAWRAP SHORTS WOMEN'S","PANTS","BK/GP;KH","No mapping"
"1105540","TRAIL ACTION TIGHTS MEN'S","THERMAL","BK;DKNV","No mapping"
"1105541","TRAIL ACTION TIGHTS WOMEN'S","THERMAL","BK;DKNV","No mapping"
"1105598","THERMAWRAP SKIRT","PANTS","BK/MD;KH;WRD","No mapping"
"1105673","O.D. PANTS MEN'S","PANTS","DKCH;DKTL;TN","No mapping"
"1105674","O.D. PANTS WOMEN'S","PANTS","DKCH;DKNV;OV","No mapping"
"1105677","SOUTH RIM PANTS MEN'S","PANTS","BK;DPFO;LTN","No mapping"
"1105678","SOUTH RIM PANTS WOMEN'S","PANTS","BKNV;BNSD;GRPH","No mapping"
"1105681","CLIFF PANTS MEN'S","PANTS","BN;DGY;NV","No mapping"
"1105682","CLIFF PANTS WOMEN'S","PANTS","BK24;LGY;NV","No mapping"
"1105685","GUIDE PANTS MEN'S","PANTS","DGY;KH;NV","No mapping"
"1105686","GUIDE PANTS WOMEN'S","PANTS","BK24;LGY;NV","No mapping"
"1105692","LINED SOUTH RIM PANTS MEN'S","PANTS","BKOV;GM","No mapping"
"1105693","LINED SOUTH RIM PANTS WOMEN'S","PANTS","BKOV;DKNV","No mapping"
"1105699","THERMAL O.D. PANTS MEN'S","PANTS","BK;DGY;NV","No mapping"
"1105700","THERMAL O.D. PANTS WOMEN'S","PANTS","DGY;NV","No mapping"
"1105707","LINED O.D. PANTS MEN'S","PANTS","DGN;DGY;TN","No mapping"
"1105708","LINED O.D. PANTS WOMEN'S","PANTS","DGN;DGY;NV","No mapping"
"1105734","LINED O.D. PANTS KID'S","KIDS & BABY","DGN;NV;TN","No mapping"
"1105735","LINED O.D. PANTS KID'S","KIDS & BABY","DGN;NV;TN","No mapping"
"1105753","MULTIUSE TROUSERS MEN'S","PANTS","BK;NV","No mapping"
"1105754","MULTIUSE TROUSERS WOMEN'S","PANTS","BK;NV","No mapping"
"1105755","CLIFF HALF-LEG SHELL PANTS MEN'S","PANTS","BGN;DGY","No mapping"
"1105756","CLIFF HALF-LEG SHELL PANTS WOMEN'S","PANTS","BGN;DGY","No mapping"
"1105759","THERMAWRAP SHORTS MEN'S","PANTS","BGN;BK","No mapping"
"1105763","ALPINE THERMAL EASY-FIT PANTS KID'S","KIDS & BABY","BK;DTL","No mapping"
"1105764","O.D. THERMAL WRAP SHORTS KID'S","KIDS & BABY","BK;BL","No mapping"
"1105765","O.D. THERMAL WRAP SHORTS KID'S","KIDS & BABY","BK;BL","No mapping"
"1105766","ALPINE THERMAL PANTS KID'S","KIDS & BABY","DGN;NV;TN","No mapping"
"1105767","ALPINE THERMAL PANTS KID'S","KIDS & BABY","NV;TN","No mapping"
"1105775","CHAMEECE PANTS MEN'S","THERMAL","BK","No mapping"
"1105776","CHAMEECE PANTS WOMEN'S","THERMAL","BK","No mapping"
"1106580","CLIMAPLUS 200 JACKET MEN'S","THERMAL","BK;DGN;OTML;PUID","No mapping"
"1106582","CLIMAPLUS 200 VEST MEN'S","THERMAL","BK;HCH;PUID","No mapping"
"1106583","CLIMAPLUS 200 VEST WOMEN'S","THERMAL","GY;OTML","No mapping"
"1106584","CLIMAPLUS 200 LINED JACKET MEN'S","THERMAL","BK;HCH;IV;NV","No mapping"
"1106585","CLIMAPLUS 200 LINED JACKET WOMEN'S","THERMAL","GY;OTML","No mapping"
"1106587","CLIMAPLUS KNIT JACKET MEN'S","THERMAL","DBN;DKNV;FOST;HC/GM","No mapping"
"1106588","CLIMAPLUS KNIT JACKET WOMEN'S","THERMAL","DKNV;IV;OG","No mapping"
"1106589","CLIMAPLUS KNIT HOODED JACKET MEN'S","THERMAL","BK;BL;DBN;PAPRI","No mapping"
"1106590","CLIMAPLUS KNIT HOODED JACKET WOMEN'S","THERMAL","DKNV;IV;OG","No mapping"
"1106591","CLIMAPLUS 100 JACKET MEN'S","THERMAL","DKNV;GN;IV;OG;RD;STBL","No mapping"
"1106592","CLIMAPLUS 100 JACKET WOMEN'S","THERMAL","DBN25;DGY;EP;LBL;RSMT;YL","No mapping"
"1106593","CLIMAPLUS 100 PULLOVER MEN'S","THERMAL","BK25;BLBK;IV","No mapping"
"1106594","CLIMAPLUS 100 PULLOVER WOMEN'S","THERMAL","DGY;YL","No mapping"
"1106597","CLIMAPLUS 100 OUTER JACKET MEN'S","THERMAL","BK;IV;NV;WRD","No mapping"
"1106598","CLIMAPLUS 100 OUTER JACKET WOMEN'S","THERMAL","DBN25;IV22;PU","No mapping"
"1106599","CLIMAPLUS 100 WARM UP HOODED JACKET MEN'S","THERMAL","GY;IV;NV","No mapping"
"1106600","CLIMAPLUS 100 WARM UP HOODED JACKET WOMEN'S","THERMAL","DGY;IV","No mapping"
"1106601","CLIMAPLUS 100 VEST MEN'S","THERMAL","IV;PUID;STBL","No mapping"
"1106603","CLIMAPLUS 100 ZIP VEST MEN'S","THERMAL","PUID;RD;STBL","No mapping"
"1106604","CLIMAPLUS 100 ZIP VEST WOMEN'S","THERMAL","DGY;RSMT","No mapping"
"1106605","CLIMAPLUS 100 LITE SWEATPANTS MEN'S","THERMAL","BGN;BK","No mapping"
"1106606","CLIMAPLUS 100 JACKET KID'S","KIDS & BABY","GN;IV;NV","No mapping"
"1106607","CLIMAPLUS 100 JACKET KID'S","KIDS & BABY","IV;TQ;YL","No mapping"
"1106608","CLIMAPLUS 100 VEST KID'S","KIDS & BABY","IV;NV","No mapping"
"1106609","CLIMAPLUS 100 VEST KID'S","KIDS & BABY","IV;NV","No mapping"
